,RandSimilar,MajorityVote,RandDifferent,MinorityVote,MajorCNN,MinorCNN,MajorWavelet,MinorWavelet,MajorJzAzBz,MinorJzAzBz,MajorRGB,MinorRGB,MajorIsBenchmark,MinorIsBenchmark
45,239931,17,969587,1,0.7331629244151302,0.4129469648782225,0.9670484535664742,0.825176363492307,0.7999797585377205,0.4354108382606101,0.32266603894103896,0.38490887046065825,True,False
46,248710,14,177804,2,0.4741091940300439,0.5807888708462222,0.7563511861342962,0.4467906104597359,0.5871367728311647,0.6478867454270159,0.31300411378873744,0.6572672817829518,False,False
47,156730,8,252764,4,0.7610668653563666,0.7722438456867138,0.3991089073030259,0.4772245084181143,0.34202012731620907,0.5070946744117993,0.4213631377412256,0.44430368072185183,False,False
48,665987,12,256840,0,0.9367283669028834,0.5812291832643912,0.9752924414281587,0.6107439106552,0.6320124473893355,0.5489262281505038,0.10346227342827552,0.5371448858312233,True,True
49,43585,9,258795,4,0.4902873312392635,0.7621004718991233,0.9031249530607173,0.8545779536063556,0.5047428786362065,0.8200821657800499,0.328624775075304,0.2963947476846782,False,True
50,259178,10,565894,0,0.8636757771272114,0.5847198715971798,0.8398243582158293,0.5071122327526463,0.49689495494359315,0.6899405278774852,0.5449104083624191,0.7801638432461435,True,True
51,269536,9,822209,8,0.7867713031949889,0.8293975520453879,0.4469060187144705,0.19061743458344427,0.7033154277348406,0.45536874192180904,0.5780832205602453,0.6206891528332197,False,False
52,121958,8,270936,2,0.8020383950127428,0.747667689710707,0.9268485668626119,0.9186740835791494,0.2463573417578959,0.8331487208078481,0.1842680109882104,0.39067153598429166,True,True
53,273538,8,61629,6,0.6531947045986225,0.6185517427186453,0.8526009957689018,0.4324803369531434,0.45988804425975466,0.7041695315015648,0.5112836608121955,0.7462098281926016,True,False
54,278167,14,579879,0,0.8219535966306404,0.2751719720150775,0.9349609091786246,0.8005579270654307,0.4074371409500534,0.49796618719797714,0.21823187721740187,0.5493887252214362,True,False
55,286103,8,365838,5,0.7867512425658553,0.6053268003915224,0.46863554080179165,0.5399491574291716,0.4399266334435809,0.5216719061496687,0.43713744897567003,0.425525920344024,False,True
